"Health and social care > NHS hospital activity > NHS activity and capacity during the coronavirus (COVID-19) pandemic > NHS hospitalisations by date and local health board"
"NHS hospitalisations by date and local health board"

Filters:
Hospital type: All NHS hospitals
Indicator: All hospitalisations

"","Wales ","","","","","","","","Wales "
"20 Jul 2020 ",1749,134,847,1009,1257,1198,1248,13,7455
"21 Jul 2020 ",1759,131,949,1003,1255,1223,1252,8,7580
"22 Jul 2020 ",1768,135,907,1027,1224,1181,1253,8,7503
"23 Jul 2020 ",1730,134,931,1021,1220,1197,1238,10,7481
"24 Jul 2020 ",1759,131,907,1047,1199,1177,1222,13,7455
"25 Jul 2020 ",1735,131,880,1031,1196,1150,1189,17,7329
"26 Jul 2020 ",1753,132,914,1035,1213,1183,1187,18,7435
"27 Jul 2020 ",1799,131,914,1084,1239,1231,1227,19,7644
"28 Jul 2020 ",1755,131,925,1075,1226,1245,1260,13,7630
"29 Jul 2020 ",1668,132,907,1050,1219,1266,1259,15,7516
"30 Jul 2020 ",1634,133,908,1050,1202,1250,1259,16,7452
"31 Jul 2020 ",1609,136,919,1075,1224,1226,1261,17,7467
"1 Aug 2020 ",1696,137,878,1030,1217,1199,1201,16,7374
"2 Aug 2020 ",1729,137,889,1049,1218,1206,1211,17,7456
"3 Aug 2020 ",1705,136,916,1084,1246,1257,1265,15,7624
"4 Aug 2020 ",1649,131,912,1081,1187,1271,1260,20,7511
"5 Aug 2020 ",1611,133,911,1103,1242,1245,1254,16,7515
"6 Aug 2020 ",1659,132,911,1081,1212,1240,1270,17,7522
"7 Aug 2020 ",1647,136,899,1052,1212,1231,1248,12,7437
"8 Aug 2020 ",1649,138,922,1040,1226,1211,1204,15,7405
"9 Aug 2020 ",1674,138,913,1030,1212,1200,1207,14,7388
"10 Aug 2020 ",1638,137,933,1061,1230,1237,1250,20,7506
"11 Aug 2020 ",1639,135,926,1078,1263,1252,1266,15,7574
"12 Aug 2020 ",1634,136,933,1090,1206,1262,1296,15,7572
"13 Aug 2020 ",1646,135,942,1086,1211,1265,1300,14,7599
"14 Aug 2020 ",1617,140,909,1097,1226,1273,1315,17,7594
"15 Aug 2020 ",1631,141,900,1045,1258,1232,1263,16,7486
"16 Aug 2020 ",1667,141,911,1069,1258,1271,1256,16,7589
"17 Aug 2020 ",1702,141,919,1096,1287,1325,1312,16,7798
"18 Aug 2020 ",1685,137,901,1116,1277,1313,1321,15,7765
"19 Aug 2020 ",1677,137,901,1138,1244,1313,1315,18,7743
"20 Aug 2020 ",1642,138,907,1120,1270,1306,1322,20,7725
"21 Aug 2020 ",1648,141,899,1113,1244,1294,1326,17,7682
"22 Aug 2020 ",1654,145,828,1049,1262,1229,1239,15,7421
"23 Aug 2020 ",1711,145,851,1081,1273,1235,1231,15,7542
"24 Aug 2020 ",1668,145,895,1103,1271,1272,1283,16,7653
"25 Aug 2020 ",1667,140,873,1113,1268,1291,1274,19,7645
"26 Aug 2020 ",1619,139,884,1125,1256,1278,1275,18,7594
"27 Aug 2020 ",1600,140,870,1091,1252,1274,1289,18,7534
"28 Aug 2020 ",1619,138,869,1096,1248,1247,1275,17,7509
"29 Aug 2020 ",1658,136,844,1056,1246,1189,1210,20,7359
"30 Aug 2020 ",1657,136,872,1083,1217,1202,1231,23,7421
"31 Aug 2020 ",1674,140,897,1117,1265,1231,1237,23,7584
"1 Sep 2020 ",1696,139,911,1120,1275,1285,1290,19,7735
"2 Sep 2020 ",1702,138,901,1136,1262,1295,1294,17,7745
"3 Sep 2020 ",1596,141,898,1163,1241,1300,1305,18,7662
"4 Sep 2020 ",1608,141,900,1148,1256,1275,1284,18,7630
"5 Sep 2020 ",1652,143,906,1155,1228,1261,1254,21,7620
"6 Sep 2020 ",1704,144,902,1155,1232,1268,1251,21,7677
"7 Sep 2020 ",1697,142,927,1183,1260,1291,1297,21,7818
"8 Sep 2020 ",1681,142,945,1186,1280,1262,1294,18,7808
"9 Sep 2020 ",1712,145,942,1186,1261,1250,1311,21,7828
"10 Sep 2020 ",1703,142,933,1185,1262,1273,1295,23,7816
"11 Sep 2020 ",1676,142,914,1196,1255,1283,1284,26,7776
"12 Sep 2020 ",1673,147,934,1184,1228,1263,1241,26,7696
"13 Sep 2020 ",1684,149,964,1186,1230,1301,1255,25,7794
"14 Sep 2020 ",1676,147,941,1216,1258,1313,1307,21,7879
"15 Sep 2020 ",1657,145,951,1196,1288,1323,1324,24,7908
"16 Sep 2020 ",1628,146,934,1215,1283,1298,1307,21,7832
"17 Sep 2020 ",1627,145,925,1215,1298,1303,1310,21,7844
"18 Sep 2020 ",1666,146,940,1214,1314,1257,1322,19,7878
"19 Sep 2020 ",1660,150,932,1171,1289,1217,1297,16,7732
"20 Sep 2020 ",1679,149,920,1148,1281,1216,1290,16,7699
"21 Sep 2020 ",1717,149,965,1169,1262,1258,1353,16,7889
"22 Sep 2020 ",1648,145,933,1180,1196,1273,1326,16,7717
"23 Sep 2020 ",1680,151,939,1209,1280,1236,1301,15,7811
"24 Sep 2020 ",1681,150,950,1158,1179,1246,1312,17,7693
"25 Sep 2020 ",1672,151,946,1177,1261,1224,1279,20,7730
"26 Sep 2020 ",1661,147,950,1107,1189,1219,1238,12,7523
"27 Sep 2020 ",1670,147,968,1141,1260,1228,1221,12,7647
"28 Sep 2020 ",1747,147,961,1160,1169,1279,1269,12,7744
"29 Sep 2020 ",1728,145,977,1181,1240,1279,1313,16,7879
"30 Sep 2020 ",1658,142,970,1158,1254,1284,1310,16,7792
"1 Oct 2020 ",1649,147,946,1152,1275,1261,1323,17,7770
"2 Oct 2020 ",1636,148,962,1172,1223,1295,1296,20,7752
"3 Oct 2020 ",1645,151,984,1122,1182,1251,1249,17,7601
"4 Oct 2020 ",1671,151,966,1128,1185,1267,1271,13,7652
"5 Oct 2020 ",1705,151,958,1162,1202,1294,1328,13,7813
"6 Oct 2020 ",1658,146,974,1181,1156,1293,1338,21,7767
"7 Oct 2020 ",1710,145,953,1194,1178,1260,1347,16,7803
"8 Oct 2020 ",1702,148,943,1194,1128,1277,1330,15,7737
"9 Oct 2020 ",1700,150,929,1152,1133,1291,1328,13,7696
"10-Oct 2020 ",1681,151,948,1225,1154,1245,1263,10,7677
"11-Oct 2020 ",1677,154,955,1121,1174,1262,1261,11,7615
"12-Oct 2020 ",1727,154,933,1144,1158,1298,1311,11,7736
"13-Oct 2020 ",1708,152,972,1153,1188,1291,1306,15,7785
"14-Oct 2020 ",1664,154,984,1144,1171,1271,1314,18,7720
"15-Oct 2020 ",1648,152,946,1124,1186,1271,1329,17,7673
"16-Oct 2020 ",1635,151,926,1130,1215,1265,1337,20,7679
"17-Oct 2020 ",1619,147,962,1162,1164,1242,1291,18,7605
"18-Oct 2020 ",1649,146,961,1229,1209,1259,1283,12,7748
"19-Oct 2020 (9)",1687,144,925,1114,1277,1291,1366,13,7817
"20-Oct 2020 ",1674,147,946,1143,1257,1269,1367,13,7816
"21-Oct 2020 ",1708,145,979,1138,1230,1278,1349,17,7844
"22-Oct 2020 ",1731,148,959,1123,1276,1284,1338,19,7878
"23-Oct 2020 ",1718,153,893,1110,1267,1282,1308,19,7750
"24-Oct 2020 ",1680,153,882,1085,1246,1256,1283,19,7604
"25-Oct 2020 ",1671,152,920,1056,1301,1257,1292,18,7667
"26-Oct 2020 ",1708,152,918,1117,1321,1282,1314,14,7826
"27-Oct 2020 ",1715,149,920,1129,1307,1288,1316,19,7843
"28-Oct 2020 ",1664,149,901,1118,1337,1315,1318,15,7817
"29-Oct 2020 ",1663,147,862,1127,1336,1282,1282,14,7713
"30-Oct 2020 ",1689,141,853,1108,1332,1280,1272,14,7689
"31-Oct 2020 ",1657,143,850,1102,1315,1270,1237,15,7589
"01-Nov 2020 ",1703,145,844,1102,1302,1289,1231,11,7627
"02-Nov 2020 ",1717,146,881,1136,1305,1322,1299,9,7815
"03-Nov 2020 ",1723,143,891,1123,1330,1315,1290,11,7826
"04-Nov 2020 ",1688,144,902,1172,1306,1305,1290,11,7818
"05-Nov 2020 ",1686,148,892,1128,1272,1292,1278,11,7707
"06-Nov 2020 ",1653,139,885,1120,1269,1270,1284,14,7634
"07-Nov 2020 ",1663,143,891,1058,1219,1228,1256,15,7473
"08-Nov 2020 ",1630,142,878,1087,1273,1243,1254,13,7520
"09-Nov 2020 ",1687,142,903,1127,1289,1262,1297,13,7720
"10-Nov 2020 ",1705,146,905,1126,1278,1248,1317,13,7738
"11-Nov 2020 ",1670,146,873,1118,1273,1240,1314,14,7648
"12-Nov 2020 ",1704,146,857,1106,1252,1216,1327,12,7620
"13-Nov 2020 (10)",1675,129,885,1152,1205,1221,1318,14,7599
"14-Nov 2020 ",1670,129,883,1087,1221,1202,1287,17,7496
"15-Nov 2020 ",1731,130,879,1120,1262,1206,1267,17,7612
"16-Nov 2020 (11)",1735,131,846,1103,1260,1221,1329,16,7641
"17-Nov 2020 ",1720,126,906,1138,1244,1287,1317,16,7754
"18-Nov 2020 ",1688,126,865,1161,1263,1311,1352,15,7781
"19-Nov 2020 ",1678,128,892,1127,1268,1322,1356,15,7786
"20-Nov 2020 ",1689,139,882,1126,1228,1263,1353,15,7695
"21-Nov 2020 ",1658,136,907,1133,1291,1262,1287,14,7688
"22-Nov 2020 ",1670,137,898,1090,1275,1286,1288,11,7655
"23-Nov 2020 ",1698,136,866,1118,1296,1315,1326,11,7766
"24-Nov 2020 ",1678,133,900,1132,1294,1315,1349,12,7813
"25-Nov 2020 ",1727,129,901,1134,1282,1323,1366,11,7873
"26-Nov 2020 ",1708,131,913,1160,1276,1316,1375,10,7889
"27-Nov 2020 ",1741,128,924,1155,1265,1316,1366,12,7907
"28-Nov 2020 ",1652,129,766,1125,1240,1312,1328,11,7563
"29-Nov 2020 ",1720,129,906,1127,1240,1310,1321,7,7760
"30-Nov 2020 ",1721,127,923,1141,1255,1322,1353,10,7852
"01-Dec 2020 ",1724,127,899,1177,1244,1354,1373,10,7908
"02-Dec 2020 ",1723,129,902,1175,1250,1367,1368,10,7924
"03-Dec 2020 ",1727,126,866,1163,1238,1347,1351,12,7830
"04-Dec 2020 ",1713,126,886,1138,1266,1325,1338,12,7804
"05-Dec 2020 ",1730,127,901,1131,1272,1306,1302,13,7782
"06-Dec 2020 ",1732,128,887,1128,1282,1294,1295,14,7760
"07-Dec 2020 ",1715,127,873,1135,1278,1309,1342,13,7792
"08-Dec 2020 ",1718,129,868,1140,1284,1351,1363,14,7867
"09-Dec 2020 ",1720,131,913,1164,1288,1384,1354,14,7968
"10-Dec 2020 ",1724,129,904,1135,1297,1370,1386,14,7959
"11-Dec 2020 ",1685,128,918,1140,1293,1345,1359,11,7879
"12-Dec 2020 ",1724,129,900,1129,1290,1299,1303,11,7785
"13-Dec 2020 ",1717,128,918,1084,1311,1299,1283,15,7755
"14-Dec 2020 ",1749,133,902,1116,1313,1339,1334,15,7901
"15-Dec 2020 ",1732,130,899,1136,1299,1368,1342,12,7918
"16-Dec 2020 ",1763,130,871,1179,1295,1354,1346,14,7952
"17-Dec 2020 ",1761,132,900,1153,1282,1357,1335,8,7928
"18-Dec 2020 ",1700,132,932,1115,1271,1345,1326,15,7836
"19-Dec 2020 ",1678,135,900,1142,1277,1321,1280,11,7744
"20-Dec 2020 ",1695,136,896,1153,1302,1318,1247,12,7759
"21-Dec 2020 ",1694,129,886,1162,1315,1331,1258,7,7782
"22-Dec 2020 ",1692,126,892,1112,1258,1344,1273,7,7704
"23-Dec 2020 ",1678,124,880,1128,1217,1309,1235,14,7585
"24-Dec 2020 ",1610,127,860,1101,1224,1267,1206,12,7407
"25-Dec 2020 ",1550,126,784,1072,1127,1212,1112,8,6991
"26-Dec 2020 ",1527,124,863,1045,1181,1199,1103,5,7047
"27-Dec 2020 ",1558,123,880,1047,1209,1224,1143,2,7186
"28-Dec 2020 ",1619,123,857,1097,1209,1250,1178,2,7335
"29-Dec 2020 ",1676,129,871,1129,1226,1302,1242,5,7580
"30-Dec 2020 ",1680,130,864,1143,1234,1320,1264,7,7642
"31-Dec 2020 ",1703,136,867,1136,1238,1335,1252,12,7679
"01-Jan 2021 ",1666,143,859,1123,1250,1337,1216,7,7601
"02-Jan 2021 ",1695,145,862,1130,1266,1348,1224,5,7675
"03-Jan 2021 ",1757,149,882,1128,1272,1365,1228,4,7785
"04-Jan 2021 ",1762,143,878,1142,1307,1377,1294,5,7908
"05-Jan 2021 ",1824,138,889,1143,1301,1379,1316,6,7996
"06-Jan 2021 ",1788,137,865,1124,1302,1384,1324,12,7936
"07-Jan 2021 ",1830,137,881,1164,1285,1418,1329,12,8056
"08-Jan 2021 ",1809,139,872,1124,1301,1396,1349,9,7999
"09-Jan 2021 ",1809,141,892,1136,1331,1342,1313,9,7973
"10-Jan 2021 ",1823,142,892,1132,1310,1335,1308,7,7949
"11-Jan 2021 ",1821,142,899,1157,1307,1363,1345,7,8041
"12-Jan 2021 ",1795,139,909,1179,1298,1343,1360,6,8029
"13-Jan 2021 ",1831,144,881,1182,1316,1379,1381,7,8121
"14-Jan 2021 ",1833,145,861,1150,1325,1371,1361,9,8055
"15-Jan 2021 ",1825,146,874,1126,1306,1390,1347,9,8023
"16-Jan 2021 ",1796,149,872,1090,1302,1335,1297,9,7850
"17-Jan 2021 ",1784,148,886,1083,1287,1335,1295,9,7827
"18-Jan 2021 (12)",1804,145,894,1091,1313,1373,1333,10,7963
"19-Jan 2021 ",1802,146,896,1106,1271,1355,1325,9,7910
"20-Jan 2021 ",1858,147,914,1136,1301,1355,1309,10,8030
"21-Jan 2021 ",1877,145,893,1131,1233,1373,1327,7,7986
"22-Jan 2021 ",1887,144,924,1110,1269,1369,1324,9,8036
"23-Jan 2021 ",1881,146,901,1088,1276,1322,1301,5,7920
"24-Jan 2021 ",1869,146,916,1102,1312,1316,1280,7,7948
"25-Jan 2021 ",1873,144,934,1122,1321,1318,1337,9,8058
"26-Jan 2021 ",1904,141,904,1122,1300,1346,1363,11,8091
"27-Jan 2021 ",1897,143,926,1146,1264,1372,1364,11,8123
"28-Jan 2021 ",1860,143,918,1158,1293,1349,1347,10,8078
"29-Jan 2021 ",1872,145,906,1153,1277,1357,1346,12,8068
"30-Jan 2021 ",1858,144,888,1148,1284,1325,1295,9,7951
"31-Jan 2021 ",1906,143,916,1113,1300,1329,1300,10,8017
"01-Feb 2021 (13)",1870,140,874,1129,1289,1373,1333,11,8019
"02-Feb 2021 ",1858,138,894,1123,1268,1352,1339,10,7982
"03-Feb 2021 ",1857,135,930,1106,1193,1375,1333,11,7940
"04-Feb 2021 ",1844,132,909,1122,1201,1363,1345,9,7925
"05-Feb 2021 ",1825,136,907,1125,1205,1349,1347,15,7909
"06-Feb 2021 ",1823,136,933,1101,1221,1330,1280,7,7831
"07-Feb 2021 ",1818,137,924,1093,1238,1313,1281,7,7811
"08-Feb 2021 ",1829,137,906,1098,1244,1351,1307,8,7880
"09-Feb 2021 ",1837,137,888,1104,1244,1368,1338,8,7924
"10-Feb 2021 ",1807,138,884,1093,1194,1365,1341,6,7828
"11-Feb 2021 ",1825,142,875,1087,1191,1378,1352,8,7858
"12-Feb 2021 ",1811,140,880,1076,1155,1334,1327,7,7730
"13-Feb 2021 ",1831,139,897,1069,1166,1327,1308,6,7743
"14-Feb 2021 ",1800,138,898,1072,1163,1324,1288,6,7689
"15-Feb 2021 ",1827,137,896,1086,1192,1358,1338,8,7842
"16-Feb 2021 ",1841,139,888,1085,1189,1355,1331,10,7838
"17-Feb 2021 ",1820,141,896,1118,1184,1364,1349,13,7885
"18-Feb 2021 ",1840,141,888,1107,1195,1352,1353,12,7888
"19-Feb 2021 ",1833,138,857,1125,1198,1340,1352,6,7849
"20-Feb 2021 ",1840,139,871,1092,1197,1329,1322,5,7795
"21-Feb 2021 ",1858,139,890,1090,1220,1333,1309,8,7847
"22-Feb 2021 ",1824,143,897,1120,1244,1359,1370,6,7963
"23-Feb 2021 ",1848,143,868,1127,1227,1386,1367,7,7973
"24-Feb 2021 ",1802,144,873,1148,1232,1388,1343,10,7940
"25-Feb 2021 ",1773,140,876,1131,1222,1378,1342,9,7871
"26-Feb 2021 ",1748,145,873,1136,1193,1368,1355,7,7825
"27-Feb 2021 ",1751,149,889,1150,1034,1347,1299,8,7627
"28-Feb 2021 ",1796,149,871,1096,1188,1329,1282,7,7718
"01-Mar 2021 ",1789,148,865,1115,1194,1354,1333,8,7806
"02-Mar 2021 ",1748,147,892,1101,1165,1347,1348,8,7756
"03-Mar 2021 ",1753,148,901,1099,1160,1342,1356,10,7769
"04-Mar 2021 ",1740,150,889,1110,1155,1345,1365,8,7762
"05-Mar 2021 ",1695,144,869,1085,1151,1327,1376,11,7658
"06-Mar 2021 ",1689,148,894,1073,1100,1286,1329,8,7527
"07-Mar 2021 ",1718,153,912,1065,1118,1301,1311,6,7584
"08-Mar 2021 (14)",1759,153,889,1062,1146,1325,1358,9,7701
"09-Mar 2021 ",1716,152,864,1075,1135,1385,1384,12,7723
"10-Mar 2021 ",1692,154,862,1063,1132,1327,1370,14,7614
"11-Mar 2021 ",1716,157,889,1069,1128,1306,1353,13,7631
"12-Mar 2021 ",1704,160,896,1083,1119,1301,1346,10,7619
"13-Mar 2021 ",1703,161,881,1056,1110,1290,1296,14,7511
"14-Mar 2021 ",1706,164,908,1072,1128,1286,1287,14,7565
"15-Mar 2021 ",1711,167,935,1168,1145,1326,1351,8,7811
"16-Mar 2021 ",1705,167,923,1169,1128,1302,1370,13,7777
"17-Mar 2021 ",1698,163,927,1130,1158,1330,1355,13,7774
"18-Mar 2021 ",1707,158,931,1141,1126,1323,1323,16,7725
"19-Mar 2021 ",1731,156,922,1133,1183,1313,1300,10,7748
"20-Mar 2021 ",1728,158,896,1099,1182,1265,1247,14,7589
"21-Mar 2021 ",1760,158,913,1134,1184,1282,1242,12,7685
"22-Mar 2021 ",1766,165,932,1153,1209,1331,1334,9,7899
"23-Mar 2021 ",1745,162,924,1140,1202,1343,1348,12,7876
"24-Mar 2021 ",1756,165,916,1158,1222,1353,1344,11,7925
"25-Mar 2021 ",1747,169,921,1149,1197,1329,1356,8,7876
"26-Mar 2021 ",1751,163,922,1134,1196,1328,1331,12,7837
"27-Mar 2021 ",1730,170,913,1122,1190,1277,1269,12,7683
"28-Mar 2021 ",1761,169,918,1114,1186,1277,1278,11,7714
"29-Mar 2021 ",1795,161,950,1111,1233,1307,1355,12,7924
"30-Mar 2021 ",1785,161,965,1118,1232,1304,1367,16,7948
"31-Mar 2021 ",1770,164,946,1135,1220,1348,1359,15,7957
"01-Apr 2021 ",1773,166,960,1131,1212,1329,1338,18,7927
"02-Apr 2021 ",1739,163,909,1078,1176,1233,1270,21,7589
"03-Apr 2021 ",1757,166,921,1067,1173,1211,1259,15,7569
"04-Apr 2021 ",1789,166,933,1076,1172,1231,1252,13,7632
"05-Apr 2021 ",1801,166,939,1123,1213,1260,1282,15,7799
"06-Apr 2021 ",1832,172,963,1122,1232,1330,1352,16,8019
"07-Apr 2021 ",1786,166,992,1135,1253,1356,1392,19,8099
"08-Apr 2021 ",1777,166,978,1164,1230,1362,1416,19,8112
"09-Apr 2021 ",1755,169,965,1168,1230,1349,1384,14,8034
"10-Apr 2021 ",1753,171,952,1129,1252,1294,1327,11,7889
"11-Apr 2021 ",1786,171,993,1143,1273,1302,1318,11,7997
"12-Apr 2021 (15)",1794,170,995,1168,1265,1366,1395,10,8163
"13-Apr 2021 ",1784,164,987,1160,1283,1362,1416,14,8170
"14-Apr 2021 ",1769,167,975,1135,1269,1372,1387,17,8091
"15-Apr 2021 ",1738,167,978,1142,1247,1360,1382,18,8032
"16-Apr 2021 ",1743,174,980,1124,1243,1349,1330,12,7955
"17-Apr 2021 ",1739,172,943,1127,1244,1318,1268,17,7828
"18-Apr 2021 ",1737,173,952,1111,1235,1322,1267,9,7806
"19-Apr 2021 ",1757,171,964,1157,1262,1381,1352,12,8056
"20-Apr 2021 ",1770,174,966,1157,1253,1394,1383,13,8110
"21-Apr 2021 ",1729,173,977,1154,1253,1406,1398,13,8103
"22-Apr 2021 ",1721,168,968,1164,1199,1399,1402,13,8034
